price,Furnishing,Bathroom,Balcony,locality,bhk,city
350000,Semi-Furnished,5,2," Green park extension, Green Park Extension ",4 BHK Villa  ,New Delhi
45000,Semi-Furnished,3,1, New Friends Colony ,3 BHK Builder Floor  ,New Delhi
25000,Semi-Furnished,2,0," Pochanpur Colony, Dwarka ",3 BHK Builder Floor  ,New Delhi
15000,Semi-Furnished,1,1," DDA Flat, Bindapur ",1 BHK Apartment  ,New Delhi
51000,Furnished,3,2, Harsh Vihar-Pitampura ,3 BHK Builder Floor  ,New Delhi
180000,Semi-Furnished,5,3, Rajouri Garden ,4 BHK Builder Floor  ,New Delhi
38000,Semi-Furnished,3,2, Janakpuri ,3 BHK Builder Floor  ,New Delhi
75000,Semi-Furnished,4,2, Greater Kailash 2 ,3 BHK Builder Floor  ,New Delhi
80000,Unfurnished,3,2, Greater Kailash 1 ,3 BHK Builder Floor  ,New Delhi
22000,Unfurnished,2,2, Vikaspuri Block H ,3 BHK Builder Floor  ,New Delhi
250000,Unfurnished,4,4, Defence Colony ,4 BHK Builder Floor  ,New Delhi
30000,Unfurnished,2,2, Dwarka ,2 BHK Builder Floor  ,New Delhi
130000,Furnished,4,3," DDA Poorvi Apartments, Vasant Vihar ",4 BHK Penthouse  ,New Delhi
99000,Furnished,3,1, Kirti Nagar ,3 BHK Builder Floor  ,New Delhi
9000,Unfurnished,1,0, Palam Extension ,1 BHK Builder Floor  ,New Delhi
15000,Semi-Furnished,1,1," Maidan Garhi, Chhattarpur ",1 BHK Builder Floor  ,New Delhi
22000,Semi-Furnished,2,1," Maidan Garhi, Chhattarpur ",3 BHK Builder Floor  ,New Delhi
380000,Semi-Furnished,4,2, Vasant Vihar ,4 BHK Builder Floor  ,New Delhi
25000,Unfurnished,2,0," DDA Millennium Apartment, Rohini Sector 18 ",2 BHK Apartment  ,New Delhi
32000,Furnished,1,1, Lajpat Nagar 1 ,1 BHK Builder Floor  ,New Delhi
6500,Unfurnished,1,1, Dwarka Mor ,1 BHK  House  ,New Delhi
20000,Semi-Furnished,2,1, Dwarka Sector 23 ,2 BHK Builder Floor  ,New Delhi
45000,Semi-Furnished,5,0," Casagrand Pallagio, ",4 BHK Villa  ,New Delhi
16000,Semi-Furnished,2,1," Partap Nagar, Gulabi Bagh ",2 BHK  House  ,New Delhi
140000,Unfurnished,3,3," Annand Niketan CHS, Moti Bagh ",3 BHK Builder Floor  ,New Delhi
28000,Semi-Furnished,2,3," Aakash Ganga Apartments, Dwarka Sector 6 ",2 BHK Apartment  ,New Delhi
25000,Semi-Furnished,2,2, Geeta Colony ,2 BHK  House  ,New Delhi
150000,Semi-Furnished,5,2, Panchsheel Park ,4 BHK Builder Floor  ,New Delhi
18000,Semi-Furnished,2,2," Raghu Nagar, Dabri ",2 BHK Builder Floor  ,New Delhi
15000,Unfurnished,1,1, Tilak Nagar ,1 BHK  House  ,New Delhi
22000,Furnished,1,1, Pitampura ,1 BHK Apartment  ,New Delhi
15000,Semi-Furnished,1,0, Vivek Vihar Phase 1 ,2 BHK  House  ,New Delhi
18000,Furnished,1,0, Pitampura ,2 BHK Builder Floor  ,New Delhi
180000,Unfurnished,5,5, Dwarka Sector 12 ,5 BHK  House  ,New Delhi
60000,Furnished,2,0," Manbhavan Apartment, Dwarka Sector 10 ",3 BHK Apartment  ,New Delhi
35000,Furnished,1,1, Rajouri Garden ,2 BHK Builder Floor  ,New Delhi
60000,Furnished,2,0," DDA Flats Sarita Vihar, Sarita Vihar Pocket B ",3 BHK Apartment  ,New Delhi
10000,Unfurnished,1,1, Naraina ,1 BHK  House  ,New Delhi
30000,Unfurnished,3,0," Nagar Apartments, Hari Nagar Ashram ",3 BHK Apartment  ,New Delhi
22500,Semi-Furnished,3,3, Rohini Sector 20 ,3 BHK Builder Floor  ,New Delhi
